centro	descripEs
Cultura	Concejalía de Cultura
Deportes	Concejalía de Deportes
Educación	Concejalía de Educación
Educación e Infancia	Concejalía de Educación e Infancia
Festejos	Concejalía de Festejos
Infraestructuras	Concejalía de Infraestructuras
Servicios	Concejalía de Servicios
Servicios Sociales	Concejalía de Servicios Sociales
Trasporte	Concejalía de Transporte Y Movilidad
Urbanismo	Concejalía de Urbanismo
Alcaldía	Decreto de Alcaldía
Junta Gobierno	Junta de Gobierno Local
