actividad	centro	dni	quien	importe	date	tipo
Carril de bicicletas en Avda. Estudiantes	Ayuntamiento		CONSTRUCCIONES IBERCO, S.A.	39486	20/12/2018	Obras(Menor)
ADQUISICION DE BOXES PORTATILES PARA PERROS CON FINALIDAD DE CUARENTENA	Ayuntamiento		MANUEL VELEZ-BRACHO NARANJO	14883	20/12/2018	Suministros(Menor)
Analisis estrategico integral de la gestion y control de la contaminacion acustica en  Zaragoza	Ayuntamiento		UNIVERSIDAD DE ZARAGOZA	14875	20/12/2018	Servicios(Menor)
SUMINISTRO E INSTALACION DE GIMNASIO EN LA CALLE EN PARQUE PIGNATELLI	Ayuntamiento		AGAPITO URBAN INDUSTRIES, S.L.	9729	19/12/2018	Suministros(Menor)
SUMINISTRO DE BANCOS EN EL PARKING SUR DE LA EXPO RASTRO	Ayuntamiento		PARQUES Y JARDINES FABREGAS S.A	14998	19/12/2018	Servicios(Menor)
SERVICIO DE LAVADO Y PLANCHADO ROPA DE TRABAJO POR EMPRESA DE INSERCIÓN LABORAL, MEDIANTE PROCEDIMIENTO ABIERTO SIMPLIFICADO Y ABREVIADO	Ayuntamiento		FADE INTEGRA, S.L.	9721	18/12/2018	Servicios(Abierto Simplificado)
SUMINISTRO E INSTALACION DE PARQUE DE MAYORES EN JARDINES JESUS GRACIA	Ayuntamiento		AGAPITO URBAN INDUSTRIES, S.L.	13012	17/12/2018	Suministros(Menor)
PRESTACION DEL SERVICIO DE ANALISIS CLINICOS PARA EL PERSONAL MUNICIPAL	Ayuntamiento		Eurofins Megalab, SAU	10897	17/12/2018	Servicios(Menor)
ADQUISICIÓN Y SUMINISTRO DE DOS CINEMÓMETROS LÁSER PORTÁTILES, CON DESTINO A LA POLICÍA LOCAL DE ZARAGOZA.	Ayuntamiento		TRADESEGUR S.A	27150	17/12/2018	Suministros(Abierto)
BASE DE DATOS ARANZADI VISION (2018-2019)	Ayuntamiento		EDITORIAL-ARANZADI-SA	3316	17/12/2018	Servicios(Menor)
AMPLIACION INSTALACION FOTOVOLTAICA AUTOCONSUMO DE 25 KW EN PDM SIGLO XXI	Ayuntamiento		SOLARFAM INGENIERIA SL	26109	17/12/2018	Obras(Menor)
"ADQUISICIÓN DE 78 EQUIPOS DE RADIOTRANSMISORES PORTÁTILES SISTEMA ""TETRA"", BATERÍAS, ANTENAS DE LOS MISMOS, CARGADORES, FUNDAS Y 37 MICROAURICULARES, CON DESTINO A LA POLICÍA LOCAL DE ZARAGOZA"	Ayuntamiento		ZENON DIGITAL RADIO S.L.	48400	17/12/2018	Suministros(Abierto Simplificado)
Rampa de acceso al anfiteatro del Parque de Delicias	Ayuntamiento		ARAGONESA DE CONTRATAS S.L	21700	17/12/2018	Obras(Menor)
Adquisicion equipos de sistema de alimentacion ininterrumpido SAI	Ayuntamiento		SISTEMAS TECNOLÓGICOS AVANZADOS	8200	14/12/2018	Suministros(Menor)
RENOVACION DE ASFALTO EN C/MAYOR DEL Bº LA CARTUJA BAJA ( PRESUPUESTOS PARTICIPATIVOS 2018)	Ayuntamiento		ARAGONESA DE CONTRATAS S.L	15500	13/12/2018	Obras(Menor)
INSTALACION DE ESCALERAS EN EL CEMENTERIO DE CASETAS. ( PRESUPUESTOS PARTICIPATIVOS 2018)	Ayuntamiento		MASENA,S.L.	7401	13/12/2018	Suministros(Menor)
SUPRESION DE BARRERAS ARQUITECTONICAS EN EL BARRIO DE MOVER( PRESUPUESTOS PARTICIPATIVOS BB.RR)	Ayuntamiento		ARAGONESA DE CONTRATAS S.L	15800	13/12/2018	Obras(Menor)
SUSTITUCION DE CARPINTERIA EN ANTIGUASESCUELAS DEL LUGARICO DE CERDAN.PRES.PART.2018	Ayuntamiento		APB OBRAS Y CONTRUCCIONES, SL	10330	13/12/2018	Suministros(Menor)
P.P. SUMINISTRO E INSTALACION DEL SISTEMA DE MEGAFONIA EN CENTRO CIVICO TIO JORGE	Ayuntamiento		INDUSTRIA Y MONTAJES ELÉCTRICOS S.A.	9566	13/12/2018	Suministros(Menor)
MEGAFONIA EXTERIOR BARRIO DE MONZALBARBA.PRESUPUESTOS PARTICIPATIVOS 2018	Ayuntamiento		INDUSTRIA Y MONTAJES ELÉCTRICOS S.A.	9537	13/12/2018	Suministros(Menor)
ADQUISICION DE MATERIAL DE ILUMINACION PARA ZARAGOZA ACTIVA	Ayuntamiento		AUDIO IMPORT PROFESIONAL S.L.	10743	12/12/2018	Suministros(Menor)
Adquisicion por sustitucion de una lavadora de mascaras equipos respiratorios.	Ayuntamiento		DRAGER IBERIA	6250	12/12/2018	Suministros(Menor)
Servicio de adaptacion de los procesos de indexacion de la sede electronica	Ayuntamiento		HIBERUS TECNOLOGÍAS DE LA INFORMACIÓN S.L.	11980	12/12/2018	Servicios(Menor)
EQUIPAMIENTO DE AUTOFABRICACION, AUTOEDICION Y REALIDAD VIRTUAL PARA ZARAGOZA ACTIVA	Ayuntamiento		GRUPO SOLITIUM S.L	14900	12/12/2018	Suministros(Menor)
CONSTRUCCION DE JARDINERAS-BANCO DE GAVIONES COMO ELEMENTO MOBILIARIO URBANO, EN PARKING SUR EXPO	Ayuntamiento		EXCAVACIONES GRASA S.L	37744	12/12/2018	Obras(Menor)
Obras de acceso al Parque Tio Jorge por c/ Sixto Celorrio	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	32940	12/12/2018	Obras(Menor)
ILUMINACION INSTALACION DEPORTIVA ELEMENTAL PARQUE LA GRANJA (18-062)	Ayuntamiento		INDUSTRIA Y MONTAJES ELÉCTRICOS S.A.	18458	12/12/2018	Obras(Menor)
Adquisicion 10 Equipos de Proteccion Respiratoria.	Ayuntamiento		DRAGER IBERIA	14668	12/12/2018	Suministros(Menor)
CONTRATO MENOR PARA SUMINISTRO DE ESCENARIO MODULAR DESMONTABLE CON DESTINO AL DISTRITO SUR	Ayuntamiento		MILLAN PRO SERVICIOS PROFESIONALES, S.L.	14780	12/12/2018	Suministros(Menor)
CUBRICION DE ALCORQUES EN DISTRITO UNIVERSIDAD	Ayuntamiento		JARA JARDINERIA, OBRAS Y SERVICIOS SL	23000	10/12/2018	Obras(Menor)
SUMINISTRO E INSTALACION DE APARATOS DE GIMNASIA PARA MAYORES EN PLAZA SAN FRANCISCO	Ayuntamiento		AGAPITO URBAN INDUSTRIES, S.L.	6690	10/12/2018	Suministros(Menor)
SUMINISTRO E INSTALACION DE GIMNASIO EN LA CALLE EN PARQUE GLORIETAS DE GOYA	Ayuntamiento		AGAPITO URBAN INDUSTRIES, S.L.	8332	10/12/2018	Suministros(Menor)
SUMINISTRO DE PAPELERA DE  EXTERIOR PARA REPOSICION EN BARRIO DE CASETAS	Ayuntamiento		CONTENUR S.L	12396	10/12/2018	Suministros(Menor)
SUMINISTRO E INSTALACION DE PARQUE DE MAYORES EN PARQUE TIO JORGE	Ayuntamiento		AGAPITO URBAN INDUSTRIES, S.L.	13401	05/12/2018	Suministros(Menor)
