actividad	centro	dni	quien	importe	date	tipo
Realizacion de un Proceso de Aportaciones al Documento Inicial de la ECAZ 3.0	Ayuntamiento		ATELIER DE IDEAS S.COOP,	8874	25/10/2018	Servicios(Menor)
DESARROLLO E IMPLANTACION DE LA APLICACION INFORMATICA CAPAZ PARA EL ARCHIVO MUNICIPAL	Ayuntamiento		KEENSOFT SOFTWARE,S.L	14999	25/10/2018	Servicios(Menor)
gestion de servicios conama	Ayuntamiento		FUNDACIÓN CONAMA	8264	23/10/2018	Servicios(Menor)
Suministro de 4 bombas dosificadoras helicoidades de 0,18 kw	Ayuntamiento		ADIEGO-HERMANOS-SA	2850	23/10/2018	Suministros(Menor)
ACONDICIONAMIENTO INSTALACION DEPORTIVA ELEMENTAL TORRECILLA DE VALMADRID, ZARAGOZA.	Ayuntamiento		SPORT OCIO PLUS,S.L.	16052	22/10/2018	Obras(Menor)
Suministro de sondas de turbidez de rango alto para la planta potabilizadora.	Ayuntamiento		CAMPBELL SCIENTIFIC SPAIN, S.L.	14936	22/10/2018	Suministros(Menor)
SUMINISTRO VARIADORES DE VELOCIDAD Y  ARMARIO PARA ADECUACION DE DOSIFICACION ALMIDON	Ayuntamiento		COMERCIAL HISPANOFIL,S.A.U.	4692	22/10/2018	Suministros(Menor)
Obras para realizar arreglos en solares (S.J.Pena, 80  Lugo, 128  Manresa, 1 P. Garces  M.P.Scho.)	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	12600	22/10/2018	Obras(Menor)
SUMINISTRO DE PAVIMENTO DE CAUCHO PARA REPOSICION EN DISTINTAS ZONAS INFANTILES DE ZARAGOZA	Ayuntamiento		GALITEC DESARROLLOS TECNOLOGICOS	14999	22/10/2018	Suministros(Menor)
ACONDICIONAMIENTO INSTALACION DEPORTIVA ELEMENTAL LA CARTUJA, ZARAGOZA.	Ayuntamiento		SPORT OCIO PLUS,S.L.	33696	22/10/2018	Obras(Menor)
Sistema de sonorizacion del salon de recepciones del Ayuntamiento de Zaragoza	Ayuntamiento		INGENIER-Y-TELEC-ADDI-TELECOM-SL	11175	19/10/2018	Suministros(Menor)
DISENO, FABRICACION, TRASLADO Y MONTAJE DE ESTRUCTURA METALICA MODULAR EN MUSEO DEL FORO	Ayuntamiento		METALISTERIA MAV ZARAGOZA S.L.	7000	18/10/2018	Servicios(Menor)
Suministro tarjetas criptograficas	Ayuntamiento		REAL CASA DE LA MONEDA. FNMT	14965	17/10/2018	Suministros(Menor)
ADQUISICION CALIBRADOR MULTIPRODUCTO	Ayuntamiento		MEGACAL INSTRUMENTS IBERICA S.L. 	13744	16/10/2018	Suministros(Menor)
ADQUISICION GENERADOR DE IMPULSOS 1,2/50 µS	Ayuntamiento		INSTRUMENTACION Y COMPONENTES	11030	16/10/2018	Suministros(Menor)
ADQUISICION BOLETINES DE DENUNCIA PARA POLICIA LOCAL	Ayuntamiento		IMPRESIONES TRANSKRIT S.A. 	10366	15/10/2018	Suministros(Menor)
CONTRATO MENOR CURSO MANTENIMIENTO DE INST. RIESGO TRANSMISION LEGIONELLA. RECICLAJE. 4 EDICIONES	Ayuntamiento		AQQUA TRATAMIETNO INDUSTRIAL Y SANITARIO DEL AGUA,	4000	15/10/2018	Servicios(Menor)
SERVICIO DE ASISTENCIA TECNICA PARA CINCO ESTUDIOS GEOTECNICOS EN BARRIOS RURALES DE ZARAGOZA	Ayuntamiento		CONTROL 7 S.A.U.	8185	10/10/2018	Servicios(Menor)
Adquisicion y colocacion detectores humos, mayores 65 anos, con recursos escasos.	Ayuntamiento		FIREX-SL	14775	09/10/2018	Servicios(Menor)
Contrato derivado del Acuerdo Marco para el suministro de chalecos antiagresión mixtos  para la Policía Local	Ayuntamiento		FEDUR S.A.	87050	09/10/2018	Suministros(Basado en Acuerdo Marco)
APLICACION INFORMATICA GESTION DE TOMA DE MUESTRAS PARA EL INSTITUTO MPAL DE SALUD PUBLICA. ZARAGOZA	Ayuntamiento		INSTRUMENTACION Y COMPONENTES	13900	09/10/2018	Suministros(Menor)
SUMINISTRO  DE MATERIAL INFORMATICO PARA CASAS DE JUVENTUD	Ayuntamiento		CLD INFORMATICA	7187	08/10/2018	Suministros(Menor)
Contrato Menor de Servicios de Redaccion de Proyectos en diferentes barrios rurales de Zaragoza	Ayuntamiento		SERS CONSULTORES EN INGENIERIA Y ARQUITECTURA SAU	8628	05/10/2018	Servicios(Menor)
SUMINISTRO DE UN APILADOR DE ELEVACION Y TRASLACION ELECTRICA PARA EL SERV. DE INST. DEPORTIVAS	Ayuntamiento		FERRETERÍA ARIES S.A.	5670	04/10/2018	Suministros(Menor)
REDACCION PROYECTO DE EJECUCION DE EDIFICACION DE UN AULA POLIVALENTE EN EL CP PEDRO OROS (MOVERA)	Ayuntamiento		SERGIO LOUZAN SAAVEDRA	7000	02/10/2018	Servicios(Menor)
SUMINISTRO DE 6 DESFIBRILADORES SEMIAUTOMATICOS (DESA) Y SUS FUNGIBLES (ELECTRODOS Y BATERIAS)	Ayuntamiento		STAG SA	5340	02/10/2018	Suministros(Menor)
SERVICIOS DE DIGITALIZACION  COPIAS DE ACUERDOS Y RESOLUCIONES DE LA GERENCIA MNPAL. DE URBANISMO	Ayuntamiento		SESE-INTEGRA-NORTE-SL	9235	28/09/2018	Servicios(Menor)
GESTIÓN DEL CAFÉ DEL MUSEO DEL TEATRO CAESARAUGUSTA	Ayuntamiento		EL COLECCIONISTA RESTAURACIÓN PARA EL VIAJERO, S.L.	7972	28/09/2018	Servicios(Abierto)
Afluencia y perfiles de usuarios del  Recinto Ferial de Valdespartera en el Pilar 2018	Ayuntamiento		HOP IBIQUITOUS S.L.	7538	27/09/2018	Servicios(Menor)
SUMINISTRO E INSTALACION DE 82 MOSQUITERAS FIJAS PARA LAS VENTANAS DEL ALBERGUE MUNICIPAL.	Ayuntamiento		JOSE-MANUEL VERA MEDIANO	11702	26/09/2018	Suministros(Menor)
EVOLUCION PLATAFORMA CARTOGRAFICA DE LA GESTION DE PATRIMONIO MUNICIPAL DE SUELO	Ayuntamiento		SGV SOFTWARE GRUPO V	12750	26/09/2018	Servicios(Menor)
Servicio de montaje-desmontaje y mantenimiento de casetas municipales destinadas a la venta ambulante en la vía pública. Reservado a empresas de inserción.	Ayuntamiento		TRANVIASER-SL	118473	21/09/2018	Servicios(Abierto)
SERVICIO DE VIDEOINTERPRETACION MEDIANTE LENGUAJE DE SIGNOS	Ayuntamiento		AGRUP-SORDOS-ZARAGOZA	4192	20/09/2018	Servicios(Menor)
Actuaciones en pavimentos de varias calles del Barrio de Casetas (Convenio DPZ 2017-2019).	Ayuntamiento		COMPAÑIA DE OBRAS PUBLICAS HORMIGONES 	143296	20/09/2018	Obras(Abierto)
Aula de uso múltiple en Torrecilla de Valmadrid	Ayuntamiento		GLOBAL-CONSTRUCCION-E-INFRAESTRUCTURA S.L.	97844	19/09/2018	Obras(Abierto)
CURSO DE CONDUCCION SEGURA DE MOTOCICLETAS CON DESTINO A POLICIA LOCAL DE ZARAGOZA	Ayuntamiento		AUTO-ESCUELA CATALUÑA S.L.	13900	18/09/2018	Servicios(Menor)
ACONDICIONAMIENTO DE CAMINOS MUNICIPALESEN LOS BARRIOS DE ALFOCEA Y MONZALBARBA(RIBERA DEL EBRO	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	24910	17/09/2018	Obras(Menor)
Mejora de interconexion de la Estacion intermodal Delicias de Zaragoza y la linea 2 de tranvia	Ayuntamiento		IDOM INGENIERÍA Y CONSULTORIA SAU	11193	17/09/2018	Servicios(Menor)
Diseno e implementacion de la Gestion On line del Banco de Actividades para Jovenes	Ayuntamiento		GEOSPATIUMLAB S.L.	8400	17/09/2018	Servicios(Menor)
CAPTURA, RECOGIDA Y TRASLADO DE ANIMALES DE COMPANIA ABANDONADOS O PERDIDOS EN ZARAGOZA 24H AL DIA	Ayuntamiento		SUSANA DEL RÍO SANZ	14876	17/09/2018	Servicios(Menor)
Servicio de Maquetacion HTML5 de la Sede Electronica	Ayuntamiento		INDEX DESARROLLO WEB SLL	12000	14/09/2018	Servicios(Menor)
Servicio de atención a personas en situación de dependencia con deterioro cognitivo de la Residencia Municipal Casa de Amparo	Ayuntamiento		VITALIA ANETO SL	4289509	13/09/2018	Servicios(Abierto)
Servicio de cocina y alimentación en la Residencia municipal Casa de Amparo	Ayuntamiento		ARAMARK SERVICIOS DE CATERING	1838060	12/09/2018	Servicios(Abierto)
MODIFICACIÓN Y MAQUETACIÓN DE LAS ORDENANZAS FISCALES, MEDIANTE PROCEDIMIENTO ABIERTO, SIMPLIFICADO Y ABREVIADO	Ayuntamiento		MINTAKELLER S.L	14000	11/09/2018	Servicios(Abierto Simplificado)
ELABORACION DE LA ESTRATEGIA ALIMENTACION SALUDABLE Y SOSTENIBLE DE ZARAGOZA	Ayuntamiento		FUNDACION ENTRETANTOS	14200	11/09/2018	Servicios(Menor)
Gestion Mesas Contratacion	Ayuntamiento		IA SOFT ARAGÓN S.L.	14581	10/09/2018	Servicios(Menor)
Adecuacion y adaptacion de vehiculo para puesto de mando sanitario	Ayuntamiento		LEXTON, SDAD. LTDA.	7020	10/09/2018	Suministros(Menor)
CONTRATO MENOR DE OBRAS DE PERFORACION Y ACCESO OPERATIVO DE LLAVES	Ayuntamiento		CONSTRUCCIONES IBERCO, S.A.	32624	10/09/2018	Obras(Menor)
Servicio de Limpieza del Complejo Deportivo Municipal Palafox	Ayuntamiento		EULEN S.A.	416562	09/09/2018	Servicios(Abierto)
Contratación del suministro de un digestor por microondas	Ayuntamiento		VERTEX TECHNICS, S.L.	28100	06/09/2018	Suministros(Abierto)
TITULARES SMS DE EUROPA PRES	Ayuntamiento		EUROPA PRESS DELEGACIONES, SA	14792	06/09/2018	Servicios(Negociado sin publicidad)
Renovacion de material musical existente Casas de Juventud	Ayuntamiento		MUSICOPOLIX	5180	05/09/2018	Suministros(Menor)
OBRA DE REMODELACION DE LA PLANTA POTABILIZADORA DEL BARRIO DE VILLARRAPA	Ayuntamiento		ADIEGO-HERMANOS-SA	26369	05/09/2018	Obras(Menor)
RESTAURACION DEL LEON DEL MONUMENTO A ALFONSO I EL BATALLADOR	Ayuntamiento		FRANCISCO TORRES AZNAR.FUNDICION TORRES	6400	05/09/2018	Servicios(Menor)
TRABAJOS PREVIOS-ACONDICIONAMIENTO CELDA DEL PRIOR EN LA CARTUJA	Ayuntamiento		PUBLIC SERVICE ENTERPRISE, S.L.	32500	03/09/2018	Obras(Menor)
Renovacion y mantenimiento de equipos audiovisuales	Ayuntamiento		ALBERTO CASAMIAN GUERRERO	10432	20/08/2018	Suministros(Menor)
Colocacion de Malla de Proteccion del Monte en Juslibol (Zaragoza) CONVENIO DPZ 17-19	Ayuntamiento		CASALÉ GESTION DE RESIDUOS S.L.	15287	13/08/2018	Obras(Menor)
FOMENTO DE LA PROTECCION ANIMAL, ADOPCION Y ACOGIMIENTO DE LOS ANIMALES DE COMPANIA	Ayuntamiento		JOSE LUIS ZABORRAS LAFUENTE	15000	10/08/2018	Servicios(Menor)
Curso Tecnicas de Rescate en Aguas Bravas	Ayuntamiento		UR RANFTING SLL	8018	08/08/2018	Servicios(Menor)
RENOVACIÓN DE LA ACERA IZQUIERDA DEL Pº TIERNO GALVÁN ENTRE LA CALLE HONORIO GARCÍA CONDOY Y LA CALLE ROTONDA VILLA DE PAU	Ayuntamiento		Urbanizaciones y Medio Ambiente S.L.U.	126946	07/08/2018	Obras(Abierto Simplificado)
CERRAMIENTO METALICO  EN EL PARQUE AGROECOLOGICO ¿VIVERO DE MOVERA¿	Ayuntamiento		OBRAS Y PROYECTOS SANCOR S.L	7749	07/08/2018	Obras(Menor)
CURSO FORMACION PARA EL EMPLEO CERTIFICADO PROFESIONALIDAD LIMPIEZA SUPERFICIES Y MOBILIARIO	Ayuntamiento		ARQUISOCIAL, S.L.	10300	06/08/2018	Servicios(Menor)
Colocacion juegos infantiles en solar sito en Cn. del Pilon con Antonio Layus	Ayuntamiento		AGAPITO URBAN INDUSTRIES, S.L.	22350	02/08/2018	Obras(Menor)
CONTRATO MENOR DE SERVICIOS PARA LA ADECUACION DE UNA BALSA DE ANFIBIOS EN EL MONTE DE TORRERO	Ayuntamiento		INGENIERÍA Y TÉCNICAS GLOBALES DE RESOLUCIÓN AMBIENTAL S.L.U (INTEGRA AMBIENTAL)	8240	01/08/2018	Servicios(Menor)
Suministro de librería de cintas LTO	Ayuntamiento		SISTEMAS INFORMÁTICOS ABIERTOS S.A.	51540	01/08/2018	Suministros(Abierto)
Contrato derivado del acuerdo marco de suministro y colocación de placas cerámicas y soportes metálicos para la rotulación de vías y fincas	Ayuntamiento		EL CORTE INGLÉS, S.A.	59127	26/07/2018	Suministros(Basado en Acuerdo Marco)
PACK EL DERECHO ADMINISTRACION PUBLICA MEMENTOS.	Ayuntamiento		LEFEBVRE EL DERECHO	3109	25/07/2018	Servicios(Menor)
Servicio de Limpieza del Complejo Deportivo Municipal Alberto Maestro	Ayuntamiento		FERROVIAL SERVICIOS SA	567152	24/07/2018	Servicios(Abierto)
CURSO CONDUCCION VEHICULOS 4x4 LIGEROS	Ayuntamiento		FRANCISCO-JAVIER VICENTE YUBERO	6534	19/07/2018	Servicios(Menor)
CURSO DE MANEJO DE VEHICULOS 4X4 PESADOS (CAMION) EN SITUACIONES ADVERSAS	Ayuntamiento		FRANCISCO-JAVIER VICENTE YUBERO	4320	19/07/2018	Servicios(Menor)
Instalacion del software Oracle Weblogic y Oracle Forms and Reports	Ayuntamiento		META4	4200	17/07/2018	Servicios(Menor)
MEJORAS ACCESIBILIDAD EN ASEOS PABELLON NO-JUNTA MUNICIPAL UNIVERSIDAD (17-031) P-5	Ayuntamiento		PROMOCIONES URBANAS MAMBLAS, S.L.	19018	17/07/2018	Obras(Menor)
SUMINISTRO DE DOS ELEVADORES DE BATERIA TRANSPORTABLES PARA EL SERVICIO DE INSTALACIONES DEPORTIVAS	Ayuntamiento		ADIEGO-HERMANOS-SA	10827	17/07/2018	Suministros(Menor)
REPOSICION DE 20 PC'S CON DESTINO A LAS TAQUILLAS DE VENTA DE LOS CENT. DEPOR. MUNICIPALES	Ayuntamiento		CLD INFORMATICA	14300	16/07/2018	Suministros(Menor)
Adecuacion de terreno para aparcamiento y uso publico en Muel con Av.Pte. del Pilar	Ayuntamiento		CESAR AUGUSTA 2020 S.L.	31987	16/07/2018	Obras(Menor)
Servicio de bar en el Centro Deportivo Municipal Movera	Ayuntamiento		Luis Daniel Ballesteros Jordán	4800	13/07/2018	Servicios(Abierto Simplificado)
SUMINISTRO DE REJILLAS PARA CANALES PERIMETRALES DE PISCINAS DEL S. DE  INSTALACIONES DEPORTIVAS	Ayuntamiento		QUIMICA DEL CENTRO, S.A.U.	8305	12/07/2018	Suministros(Menor)
REMODELACION DE SOLERA EN COLEGIO PUBLICO HERMANOS ARGENSOLA EN BARRIO MONTANANA 18-003	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	34743	12/07/2018	Obras(Menor)
REPARACIONES EN LA CUBIERTA DEL ANTIGUO CUARTEL DE PONTONEROS	Ayuntamiento		CONSTRUCCIONES AMADO TERRÉN, S.L	14661	11/07/2018	Obras(Menor)
SUMINISTRO SERVIDOR RHSP	Ayuntamiento		DATEK SISTEMAS, S.L.	7634	11/07/2018	Suministros(Menor)
Enajenación mediante licitación pública, por permuta a cambio de obra, e la parcela C2 de las resultantes del Proyecto de Reparcelación  del Area de Intervención F-51-3	Ayuntamiento		Sociedad Cooperativa Aragonesa Oroel 2008	5309863	11/07/2018	Sujetos otras normas(Abierto)
CARACTERIZACION CAMARAS DE VALVULAS RED ABASTECIMIENTO A EFECTOS DE PREVENCION DE RIESGOS LABORALES	Ayuntamiento		INGENIERÍA Y GESTIÓN ARAGÓN, S.L.	9800	11/07/2018	Servicios(Menor)
Curso de Apertura de Puertas ( NIvel Basico)	Ayuntamiento		SEGANOSA	4859	06/07/2018	Servicios(Menor)
Curso de Perfeccionamiento Apertura de Puertas (Nivel Avanzado)	Ayuntamiento		SEGANOSA	8570	06/07/2018	Servicios(Menor)
ENCUESTA SATISFACCION 2018 DE LOS SERVICIOS MUNICIPALES DE LA CIUDAD DE ZARAGOZA	Ayuntamiento		FUNDACION-DFA	14999	05/07/2018	Servicios(Menor)
CONTRATACION DE SISTEMAS DE GESTION DE ESPERA DE CLIENTES PARA LA O.R.C.	Ayuntamiento		ATISOLUCIONES DISENO DE SISTEMAS ELECTRONICOS SL	0	05/07/2018	Suministros(Menor)
Selección de una persona física o jurídica para la organización y gestión de la instalación de atracciones feriales, de un circo y de una feria de la cerveza durante las Fiestas del Pilar de Zaragoza	Ayuntamiento		ORFEINTE S.L.	240000	04/07/2018	Sujetos otras normas(Abierto)
Servicio de Adaptacion al Reglamento de Proteccion de Datos	Ayuntamiento		IA SOFT ARAGÓN S.L.	9377	04/07/2018	Servicios(Menor)
Curso de Avance y Sostenimiento en Terrenos Colapsados	Ayuntamiento		FUNDACIÓN SANTA BÁRBARA	12190	04/07/2018	Servicios(Menor)
CONTRATO MENOR SERVICIOS PARA PROYECTO EXPOSITIVO PASAJERO EN ETOPIA	Ayuntamiento		NESTOR  LIZALDE MOLINAS	14000	03/07/2018	Servicios(Menor)
INSTALACION ALUMBRADO PUBLICO Cº CEMENTERIO Y PISTA DEPORTIVA . Bº  ALFOCEA  ( CONVENIO DPZ 17-19)	Ayuntamiento		ENRIQUE COCA, S.A.	18627	03/07/2018	Obras(Menor)
Selección de una persona física o jurídica para la utilización privativa del dominio público local para la celebración de espectáculos musicales durante las Fiestas del Pilar, en Valdespartera	Ayuntamiento		UTE EVENTOS MPH DIRECTO, S.L. Y ZUSUP S.L.	180000	02/07/2018	Sujetos otras normas(Abierto)
SUSCRIPCION A LA PLATAFORMA ELSECTORPUBLICO.ES	Ayuntamiento		CONSULTORES DE LAS ADMINISTRACIONES PUBLICAS S.A.	6000	02/07/2018	Servicios(Menor)
CONTRATO MENOR DE SERVICIOS PARA REPARACION DE DEPOSITO DE AGUA EN EL MONTE PLANA DE ZARAGOZA	Ayuntamiento		DEMS-IHF SL	9606	29/06/2018	Servicios(Menor)
CONTRATO MENOR CURSO FORMACION PARA LA IGUALDAD (30 EDICIONES)	Ayuntamiento		INTELECTO CONS. PROY.	7500	29/06/2018	Servicios(Menor)
CURSO PREVENCION EN TRABAJOS CON RIESGO DE EXPOSICION AL AMIANTO (2 EDICIONES)	Ayuntamiento		FUNDACION-LABORAL-CONSTRUCCION	3600	29/06/2018	Servicios(Menor)
Contrato menor del curso Manipulacion de productos fitosanitarios. Nivel basico	Ayuntamiento		FUNDACIÓN SAN VALERO	4250	29/06/2018	Servicios(Menor)
CURSO DE LOCALIZACION DE PERSONAS EN  EDIFICIOS , PARA MIEMBROS DE LAS UNIDADES CANINAS.	Ayuntamiento		Miguel  de Prado Garcia	7272	28/06/2018	Servicios(Menor)
Adecuacion de solar para huertos urbanos en calle Nicanor Villalta, 4	Ayuntamiento		CONSOLIDA OLIVER S.L.	14932	26/06/2018	Obras(Menor)
PROCESO DE ELABORACION ESTRATEGIA ALIMENTACION SALUDABLE Y SOSTENIBLE DE ZARAGOZA	Ayuntamiento		FUNDACION ENTRETANTOS	0	26/06/2018	Servicios(Menor)
CURSO DE  ADIESTRAMIENTO DE PERROS EN MEDIOS ACUATICOS	Ayuntamiento		Moinica Diaz Trias	9700	25/06/2018	Servicios(Menor)
PROYECTO INFRAESTRUCTURA VERDE EN MILLA DIGITAL Y REST. ECOLOGICA APARCAMIENTO SUR EXPO.PDIVZ	Ayuntamiento		SERS CONSULTORES EN INGENIERIA Y ARQUITECTURA SAU	7425	22/06/2018	Servicios(Menor)
EFICIENCIA ENERGETICA SUSTITUCION LUMINARIAS PDM LA GRANJA	Ayuntamiento		ELECTRICIDAD SIERRA GREGORIO SL	31022	22/06/2018	Obras(Menor)
Ejecucion de trabajos de batimetria en el rio Ebro. Tramo urbano de Zaragoza.	Ayuntamiento		TECMARIN 1990 S.L.	6300	22/06/2018	Servicios(Menor)
Acondicionamiento de terreno para uso publico en calle Jesus num. 2	Ayuntamiento		INGENIERÍA Y OBRAS ARAGONESAS DEL EBRO S.L.	34593	21/06/2018	Obras(Menor)
SERVICIOS PARA USOS DEPORTIVOS EN PATIO COLEGIO EN SAN JUAN DE MOZARRIFAR (CONVENIO DPZ 2017-19)	Ayuntamiento		APB OBRAS Y CONTRUCCIONES, SL	14793	20/06/2018	Obras(Menor)
CURSO DE INCENDIO EN TUNELES Y GALERIAS	Ayuntamiento		FUNDACIÓN SANTA BÁRBARA	14480	20/06/2018	Servicios(Menor)
Contratación del servicio de bar en el Centro Cívico La Cartuja	Ayuntamiento		ARANZAZU PINA LOREN	6000	20/06/2018	Servicios(Abierto)
SERVICIO DE RETIRADA Y ELIMINACION DE PAPEL Y CARTON EN EL AYUNTAMIENTO DE ZARAGOZA	Ayuntamiento		SERVICIOS-URBANOS-DE-LIMPIEZA-Y-	5928	19/06/2018	Servicios(Menor)
CONTRATO MENOR SERVICIOS PARA LA INTEG. DE LA NUEVA TARJETA LAZO EN PARQUIMETROS REG. DE SUPERFICIE	Ayuntamiento		Z+M-UTE	9780	18/06/2018	Servicios(Menor)
Obras de Reforma de instalación térmica para Parque de Bomberos nº 1	Ayuntamiento		INCLIZA-SL	181944	15/06/2018	Obras(Abierto)
Renovacion de la carpinteria de aluminio en el edificio siniestros de Parque 1	Ayuntamiento		MARCOS SANCHO ARELLANO	11371	13/06/2018	Suministros(Menor)
ADQUISICION DE UN AUTOCLAVE PARA EL LABORATORIO DE MICROBIOLOGIA DEL I.M.S.P.	Ayuntamiento		INSTRULAB S.C.	11640	12/06/2018	Suministros(Menor)
ESCANERES PARA REGISTRO GENERAL	Ayuntamiento		VASCO INFORMATICA	9864	11/06/2018	Suministros(Menor)
RENOVACION DE LICENCIAS DE AUTODESK	Ayuntamiento		NKE CAD SYSTEMS S.L.	9488	11/06/2018	Suministros(Menor)
CM Plataforma de Hacienda Local y Observatorio Economico de Capitales	Ayuntamiento		AULOCE, S.A	17133	08/06/2018	Servicios(Menor)
Suministro de pavimento  de césped artificial en régimen de arrendamiento, equipamiento deportivo e instalaciones técnicas para los campos municipales de fútbol	Ayuntamiento		BBVA RENTING S.A	1608916	07/06/2018	Suministros(Abierto)
Suministro de vehículo autobomba de primera salida (camión de bombeo urbano medio con destino al Servicio Contra Incendios, de Salvamento y Protección Civil 	Ayuntamiento		GLOBAL PROJECTS SUPPLIES	222900	04/06/2018	Suministros(Abierto)
Contratación del servicio de bar en el C.D.M. Valdefierro	Ayuntamiento		Cristina Palacio Rubio	30000	01/06/2018	Servicios(Abierto)
LIMPIEZA DE CHENILES E INSTALACIONES DEL CENTRO MUNICIPAL DE PROTECCION ANIMAL	Ayuntamiento		JOSE LUIS ZABORRAS LAFUENTE	17000	31/05/2018	Servicios(Menor)
Mejoras de accesibilidad en 3 pabellones del Antiguo Cuartel Palafox (Zaragoza)	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	107950	30/05/2018	Obras(Abierto)
PROYECTO INFRAESTRUCTURA VERDE RIO HUERVA TRAMO SOPESENS - CONECTIVIDAD PUENTE 13 SEPT. PDIVZ	Ayuntamiento		SERS CONSULTORES EN INGENIERIA Y ARQUITECTURA SAU	7599	30/05/2018	Servicios(Menor)
Obras de rehabilitación por modernización del Mercado Central Lanuza	Ayuntamiento		 FERROVIAL/AGROMAN S.A.	6763480	30/05/2018	Obras(Abierto)
Mejoras de accesibilidad en 3 pabellones del Antiguo Cuartel Palafox (Zaragoza)	Ayuntamiento		ÁRIDOS Y EXCAVACIONES CARMELO LOBERA, S.L. 	149900	30/05/2018	Obras(Abierto)
SERVICIO DE ASISTENCIA TECNICA PARA ESTUDIO GEOTECNICO EN PALACIO FUENCLARA (ZARAGOZA)	Ayuntamiento		LABORATORIO DE ENSAYOS TECNICOS S.A	5197	30/05/2018	Servicios(Menor)
MEDIDAS DE SEGURIDAD EN EDIFICIO STA. OROSIA (ANTIGUA E.I. EL TREN)	Ayuntamiento		INSERCIÓN Y TRABAJO S.L.	11187	30/05/2018	Obras(Menor)
ADQUISICION DETECTOR AMPEROMETRICO DE PULSOS, PARA ACOPLAR AL CROMATOGRAFO METROHM IC-850 DEL IMSP	Ayuntamiento		GOMENSORO INSTRUMENTACIÓN CIENTÍFICA	12933	29/05/2018	Suministros(Menor)
ADQUISICION DE 20 TABLETS CON DESTINO A LA POLICIA LOCAL DE ZARAGOZA.	Ayuntamiento		COMPUTER ZARAGOZA S.L.	5830	27/05/2018	Suministros(Menor)
Obras de Construcción del Centro Municipal de Protección Animal (Zaragoza), 2 Lotes	Ayuntamiento		Urbanizaciones y Medio Ambiente S.L.U.	625493	25/05/2018	Obras(Abierto)
Obras de Construcción del Centro Municipal de Protección Animal (Zaragoza), 2 Lotes	Ayuntamiento		PROVISER IBÉRICA, S.L.	44899	25/05/2018	Obras(Abierto)
Contratación del servicio de bar en el C.D.M. Perico Fernández (antiguo Salduba)	Ayuntamiento		HOSTELEROS EBRO ZARAGOZA 2008 S.L.	4500	23/05/2018	Servicios(Abierto)
Contratación del servicio de bar en el C.D.M. Alejandro Pérez (La Cartuja)	Ayuntamiento		Alfredo Enrique Pérez Marqués	6550	23/05/2018	Servicios(Abierto)
Contratación del servicio de bar en el C.D.M. Oliver	Ayuntamiento		John Jaider Ossa Buitrago	5000	22/05/2018	Servicios(Abierto)
Contratación del servicio de bar en el C.D.M. Santa Isabel	Ayuntamiento		WILMER OSSA BUITRAGO	28800	22/05/2018	Servicios(Abierto)
Contratación del servicio de bar en el C.D.M. Peñaflor	Ayuntamiento		Fabricio Alava Brito	8002	22/05/2018	Servicios(Abierto)
INFORME RESISTENCIA ESTRUCTURAL Y EJECUCION MEDIDAS REFUERZO TEMPORAL TECHO SOTANO IMPRENTA BLASCO	Ayuntamiento		ESTRUCTURAS-Y-CONTRATAS-EN-TRABA	13490	18/05/2018	Servicios(Menor)
Contrato Me. Servicios: Asiste/tecn. para redaccion del proyecto Apertura de C/ Hayedo (Zaragoza)	Ayuntamiento		SERS CONSULTORES EN INGENIERIA Y ARQUITECTURA SAU	4543	18/05/2018	Servicios(Menor)
MANTENIMIENTO DE LA APLICACION DE GESTION DEL TAXI ACCESIBLE	Ayuntamiento		Zeumat Zitycard	6000	18/05/2018	Servicios(Menor)
Asistencia tecnica para la redaccion proyecto: Mejora y renovacion C/ Santiago Lapuente (Zaragoza)	Ayuntamiento		SERS CONSULTORES EN INGENIERIA Y ARQUITECTURA SAU	3218	18/05/2018	Servicios(Menor)
CURSO MODELIZACION DE REDES URBANAS DE ABASTECIMIENTO DE AGUA CON EPANET	Ayuntamiento		UNIVERSITAT POLITECNICA DE VALENCIA (ITA)	4950	17/05/2018	Servicios(Menor)
Servicio de mantenimiento de 30 etilómetros portátiles, 4 etilómetros de precisión y 1 detector de drogas pertenecientes a la Policía Local	Ayuntamiento		DRAGER SAFETY HISPANIA S.A.	27841	16/05/2018	Servicios(Negociado sin publicidad)
ADQUISICION 100 MONITORES PARA ADMON. ELECTRONICA	Ayuntamiento		UNIVERTIA SL	11451	15/05/2018	Suministros(Menor)
REDACCION del PROYECTO de ¿VARIANTE SOTERRADA de LAAT de 10 Kv y 45 kV en el SECTOR SUZ 88/1¿	Ayuntamiento		PRODIA INGENIERIA	8620	14/05/2018	Servicios(Menor)
Suministro de material de imprenta (sobres, oficios y carpetas de expedientes) para el Ayuntamiento de Zaragoza	Ayuntamiento		DOMENECH MIRABET S.A.	75011	14/05/2018	Suministros(Abierto)
