cosa	color
compra
cajero	#66CC00
efectivo	#66FF66
restaurantes	#006699
gasolineras	#0099FF
joyerias	#FF00CC
hoteles	#FF9900
viajes	#9900FF
muebles
ikea
ingles
marisqueria
