centro	descripEs	descripCat
HOSPITAL DE MOSTOLES
HOSPITAL DE GETAFE
HOSPITAL LA PAZ
HOSPITAL 12 DE OCTUBRE
HOSPITAL DE LA PRINCESA
SERVICIO MADRILEÑO DE SALUD
HOSPITAL GREGORIO MARAÑON
HOSPITAL PUERTA DE HIERRO (MAJADAHONDA)
HOSPITAL INFANTA LEONOR
SUMMA 112
HOSPITAL SAN JOSE Y SANTA ADELA
HOSPITAL DE FUENLABRADA
HOSPITAL SEVERO OCHOA
HOSPITAL DE MOSTOLES
HOSPITAL RAMÓN Y CAJAL
